Jason Roy,b  Bumrah,0,5,0,0,0.00,
Jonny Bairstow,c †Pant b  Bumrah,7,20,1,0,35.00,6.36%
Joe Root,c †Pant b  Bumrah,0,2,0,0,0.00,
Ben Stokes,c †Pant b  Mohammed Shami,0,1,0,0,0.00,
Jos Buttler*†,c  Yadav b  Mohammed Shami,30,32,6,0,93.75,27.27%
Liam Livingstone,b  Bumrah,0,8,0,0,0.00,
Moeen Ali,c & b  Prasidh Krishna,14,18,2,0,77.78,12.73%
David Willey,b  Bumrah,21,26,3,0,80.77,19.09%
Craig Overton,b  Mohammed Shami,8,7,2,0,114.29,7.27%
Brydon Carse,b  Bumrah,15,26,2,0,57.69,13.64%
Reece Topley,not out,6,7,0,1,85.71,5.45%
