Player,Dismissal,Runs,Balls Faced,Fours,Sixes,Strike Rate
Rohit Sharma*,c Mitchell b Tickner,34,38,4,2,89.47
Shubman Gill,c Phillips b Shipley,208,149,19,9,139.6
Virat Kohli,b Santner,8,10,1,0,80
Ishan Kishan†,c †Latham b Ferguson,5,14,0,0,35.71
Suryakumar Yadav,c Santner b Mitchell,31,26,4,0,119.23
Hardik Pandya,b Mitchell,28,38,3,0,73.68
Washington Sundar,lbw b Shipley,12,14,0,0,85.71
Shardul Thakur,run out,3,3,0,0,100
Kuldeep Yadav,not out,5,6,0,0,83.33
Mohammed Shami,not out,2,2,0,0,100
Mohammed Siraj,-,0,0,0,0,0
