Player,Dismissal,Runs,Balls Faced,Fours,Sixes,Strike Rate
Shikhar Dhawan *,b Parnell,4,16,O,0,25
Shubman Gill,b Rabada,3,7,0,0,42.86
"Ruturaj Gaikwad
‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒",st tde Kock b Shamsi,19,42 £,1,0,45.24
Ishan Kishan,c Malan b Maharaj,20,w 37,3,0,54.05
Shreyas Iyer,c Rabada b Ngidi,50,37 w,8,0,135.14
"Sanju Samsont
‒‒‒‒‒‒‒‒‒‒‒‒‒‒",not out,86,63,9,3,136.51
Shardul Thakur,c Maharaj b Ngidi,33,wa 31,5,0,106.45
Kuldeep Yadav,c Bavuma b Ngidi,0,1,0,0,0
Avesh Khan,c Bavuma b Rabada,3,6,0,0,50
Ravi Bishnoi,not out,4,2,0,0,200
Mohammed Siraj ------------------------------------------ ரி,,,,,,
