Player,Dismissal,Runs,Balls Faced,Fours,Sixes,Strike Rate
Rohit Sharma,c  Smith b  Starc,13,15,2,0,86.67
Shubman Gill,c  Labuschagne b  Starc,0,2,0,0,0
Virat Kohli,lbw b  Ellis,31,35,4,0,88.57
Suryakumar Yadav,lbw b  Starc,0,1,0,0,0
KL Rahul,lbw b  Starc,9,12,1,0,75
Hardik Pandya,c  Smith b  Abbott,1,3,0,0,33.33
Ravindra Jadeja,c †Carey b  Ellis,16,39,1,0,41.03
Axar Patel,not out,29,29,1,2,100
Kuldeep Yadav,c  Head b  Abbott,4,17,0,0,23.53
Mohammed Shami,c †Carey b  Abbott,0,1,0,0,0
Mohammed Siraj,b  Starc,0,3,0,0,0
Travis Head,not out,51,30,10,0,170
Mitchell Marsh,not out,66,36,6,6,183.33
Steve Smith,,,,,,
Marnus Labuschagne,,,,,,
Cameron Green,,,,,,
Alex Carey,,,,,,
Marcus Stoinis,,,,,,
Sean Abbott,,,,,,
Mitchell Starc,,,,,,
Adam Zampa,,,,,,
Nathan Ellis,,,,,,
